text	en	de	rule	toxic
[USER] Dass es schon immer so war, ist erwiesenermaßen falsch. Als die Demokraten noch für Sklaverei eintraten, waren die Republikaner für die Abschaffung dieser. Erst mit Harding als Präsident wandelten sich die Republikaner zu einer konservativen Partei.	OFFENSE	OTHER	OTHER	OTHER
[USER] Sowas wie diesen sogenannten Präsidenten nennt man auch narzist !	OTHER	OTHER	OTHER	OTHER
[USER] ne :ee-no-Evil-Aff:	OTHER	OTHER	OTHER	OTHER
Alle die hier so böswillig kommentieren, denkt doch einfach mal an eure eigene Jugend. Was hat sich da besonders eingeprägt? Die Klassenfahrt an die Ostsee mit den Klassenkameraden, die Ferienreise wo ihr eine neue Freundschaften geschlossen habt, das Auslandssemester wo ihr die erste Liebe getroffen habt, der Abend wo ihr beim Tanz eure/n Frau / Mann kennengelernt habt. Erinnerungen die mit Lachen und einem Gefühl der Unbeschwertheit gefüllt sind. Das lässt sich durch nichts ersetzen! Und man sollte der Jugend zumindest zugestehen, das es schwer fällt darauf zu verzichten. Und natürlich ich das nicht so schlimm wie einen Menschen zu verlieren (ich hab selbst meinen Vater dieses Jahr verloren), aber es ist trotzdem unglaublich frustrierend.	OTHER	OFFENSE	OTHER	OTHER
[USER] zum Glück werden Kommentare nicht vorgelesen sonst wäre ihrer auch ein Teil davon :enkendes_Gesich:	OTHER	OTHER	OFFENSE	OFFENSE
Ich würde zu gerne wissen, womit Frau Baerbock im Winter heizt. Oder hängt sie sich stilecht im Tippi nur ein Bärenfell um ( ein Co2 neutrales)	OTHER	OFFENSE	OTHER	OFFENSE
Wir sollen alle Photovoltaik besitzen. Jetzt kommt die CO2-Steuer mit der die EEG-Umlage gesenkt werden soll. Also werden die, die etwas für die Umwelt tun bestraft, da Sie weniger Strom verbrauchen und somit weniger entlastet werden. Das ist Politik in Deutschland.	OTHER	OTHER	OTHER	OTHER
"""[USER], """"*innen"""" ist links-ideologischer Gender-Sprech und hat im öffentlich-rechtlichen Rundfunk nichts verloren!"""	OTHER	OTHER	OTHER	OFFENSE
der muss das sagen sonst würde er gefeuert werden...	OTHER	OTHER	OTHER	OTHER
... und ohne Menschen.	OTHER	OTHER	OTHER	OTHER
"""Ich bin kein Trump Fan, aber er ist ein Präsident der """"abliefert"""" und hält, was er verspricht. Dass wird heute eine ganz knappe Entscheidung."""	OTHER	OTHER	OTHER	OTHER
Mal ehrlich: Warum wird George Weinberg immer wieder eingeladen? Er hat nicht wesentlich Neues und Erhellendes beizutragen gewusst. Er weiß nur, wie man das Entsetzen über den Zustand der GOP und der USA verstärken kann.	OTHER	OTHER	OTHER	OTHER
Es ist immer wieder schön zu lesen, wie stolz viele Impfgegner auf Ihre Dummheit und eigene Unwissenheit sind. Schaut euch doch erst mal die Sendung an, bevor ihr hier in versammelter Runde so tut, als wärt ihr die Mehrheit. In Wahrheit seit ihr nur ein Bruchteil. Zum Glück. Das Gros der Deutschen steht dem Impfen positiv gegenüber. Ich werde mich, sobald ich darf, natürlich impfen lassen. Was denn sonst? Und ich neige dazu, den mRNA-Impfstoff von Biontech zu nehmen - dieser wird ja auch am ehesten in Europa verfügbar sein. Und ich ja, ich weiß worum es sich handelt. Mittlerweile hat es ja schon so viele, auch sehr gute Informationen rund um die Impfstoffentwicklung, das wirklich jeder Bescheid wissen sollten. Btw, eine gute Sendung. Sehr informativ. Vielen Dank dafür. Ich hätte noch mal gerne was zum Zuordnungsverfahren gehört - hier soll es ja doch keine Einigung geben. Läuft die Anmeldung/Rückmeldung über die 116117 oder über eine regionale Plattform? [URL]	OFFENSE	OFFENSE	OFFENSE	OFFENSE
[USER] ich kenne aktuell kein derartiges Urteil des Verfassungsgerichts dass Ihre Aussagen stürzt. Von daher wieder nur viel heiße Luft!	OTHER	OTHER	OTHER	OTHER
Schauspielen kann er nicht. Und inzwischen meint er, Ahnung von Allem zu haben. Schlimm dieser Typ	OTHER	OFFENSE	OTHER	OTHER
Nach Ihrer gestrigen Sendung steigt bei mir die Angst, dass es zu diesem ''Unfall'' kommt, vor allem dieser Mister Weinberg macht mir riesig Angst, er könnte für eine Mehrheit gesprochen haben/sprechen :enkendes_Gesich::achdenkliches_Gesich:! Wir werden sehen, wie das mit der Gerechtigkeit/ Demokratie in den USA bestellt ist. Gute Gesundheit.	OTHER	OFFENSE	OTHER	OTHER
