text	en	de	rule	label	task_2
@spectatorindex Because of Worst PM &amp; Planning   #ResignModi	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@HootHoottooh Your timeline is filled with hatred &amp; bigotry towards Republicans.    Stay Woke HootyHoo!	OFFENSE	OTHER	OTHER	OFFENSE	HATE
People in India are still dying like files!! Our govt is not helping at all. The world is seeing the failure and this will go down in history bold and bloody! Stop #CentralVistaProject! #ModiKaVaccineJumla #modioxygendo #ModiDisasterForIndia #ModiResign	OFFENSE	OTHER	OTHER	OFFENSE	HATE
I hate be such a downer but using oxygen to go mountain climbing next door to people dying from the lack of it is kinda' gross. #IndiaCovidCrisis https://t.co/KMER1FVZTR	OTHER	OTHER	OTHER	OTHER	NONE
You think im tripping cause I need some dick. I'm tripping cause I want more than that. But everything goes over ya head!	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Opinion💭by @VenusUpadhayaya  It’s been 2 weeks since I started reporting on the heartbreaking #IndiaCOVIDCrisis.  Though we are witnessing an exponential increase in deaths around us, the lockdown means we aren’t able to grieve as our culture requires. https://t.co/2YOUpvwyHj	OTHER	OTHER	OTHER	OTHER	NONE
India is crying for Maitri, from its government - Brilliantly out forward by Dr. @parakala  #PMModi #IndiaCovidCrisis https://t.co/G99nzgWLWg	OTHER	OTHER	OTHER	OTHER	NONE
@ANI Naa desh ko corona se bachaya Naa WB elections jeeta itna campaigning ke baad Seriously Modi is big failure for India than what I thought. #ResignPMmodi	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@narendramodi @drharshvardhan It was already knew that second wave would come. You should have kept necessary stocks. You people are so dumb, unaccountable and ignorant. Feels like curse to have leaders like you.U Resign! #ModiMustResign #ModiKaVaccineJu	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
i have shaved my dick, balls, armpits, ass, legs, face, head over the sink and in the shower and it sitll works absolutely fine	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Bitch I done did so much today I’m tired	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
@indSupremeCourt @DoJ_India Respected sir, Please consider my submission. Numerous people are awaiting to take 2nd dose of #CovidVaccine. Due to lack of planning of authorities majority is not in a position to get 2nd dose. This defeats the purpose. Please advice authorities.	OTHER	OTHER	OTHER	OTHER	NONE
@thegreatlexini @KimberlyUnited3 @The20thOne They are raising their kids to be responsible productive members of society that won't bow down to trash like the trolls on the internet, Isaac and Nikki are great parents.. Trolls can fuck off with their bullshit.	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
Windy says oh ya hoor sir . . . No long in. Shattered. Got myself a wee part time job. 3 days a month. First day. 12 hour shift. Bollocks ðŸ˜®ðŸ¤¦ðŸ»â€â™‚ï¸ðŸ¤£ Think Iâ€™ll give ma sel a 9/10 the day though. What an absolute fuking stonker eh ðŸ˜ŽðŸ”¥ðŸ™Œ	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
Scientists are begging for data but #Modi is going against science and taking no advice. Global community can't help us if we hide data and deny science. #ResignPMmodi please, you're incompetent. #AndhBhakt #ModiKaVaccineJumla #ModiResign https://t.co/tilRANVPdg	OFFENSE	OTHER	OTHER	OFFENSE	HATE
@timesofindia How dare they call it Indian variant when they dint call it a #wuhanvirus or #chinesevirus?? India should file a legal case against WHO and China in international court.	OTHER	OTHER	OTHER	OFFENSE	HATE
@smitabarooah Many shameless idiots in media want to project China positively as if nothing has happened since past 1year... #ChineseVirus destroyed many countries economy and killed millions... China should be punished	OFFENSE	OTHER	OFFENSE	OFFENSE	HATE
@mybmc Total mismanagement for 18-45 years. Fastest finger first. Slots are gone like hot cakes. BMC expects people to be on Twitter whole day. OTP system is pathetic. what is the need to log out if job is not done.Puts load on system unnecessarily. #VaccineRegistration #CovidVaccine	OFFENSE	OTHER	OTHER	OTHER	NONE
We should not unnecessarily curse PM. What are our people doing. Why they are not taking care of themselves. Even if you see conditions before 8 months in US and Italy. It was same. No conuntry has massive health infra to tackle so many cases. #ResignPMmodi	OFFENSE	OTHER	OTHER	OTHER	NONE
@BJP4India @sambitswaraj You and your party should be ashamed...Thoda Sharm Kar lo Bhai #Resign_PM_Modi	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@catboyranpo ufotable’s entire budget went on animating this bastard and we are so grateful for it	OFFENSE	OFFENSE	OFFENSE	OFFENSE	OFFN
would you fuck me? - ash — Idk who ash is? So you gotta tell me lol https://t.co/I0Jj7LNEho	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
I am feeling the loss of dear Dharma brother Suvidya in Delhi. Where can i put my sadness &amp; frustration? For now I have donated £10 to the Oxfam appeal. Its a start. If you can spare anything to help please donate. #IndiaCovidCrisis https://t.co/RQF8pimUb0	OTHER	OTHER	OTHER	OTHER	NONE
@WrittenByHanna To hell with being the bigger person.  Ima be an asshole instead. https://t.co/7f4q2J3syW	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
@thecoastguy â€¦..But is a real Wanker, you know.	OFFENSE	OTHER	OTHER	OFFENSE	OFFN
@wahlstedt007 @pamela53blue Damn dude is being very nice! At a minimum he is at least a lying orange shitbag.....	OFFENSE	OFFENSE	OTHER	OFFENSE	PRFN
Meanwhile #ChineseVirus companies ignored for 5G trials in India. Mudi mus regine. ðŸ˜‚	OTHER	OTHER	OTHER	OTHER	NONE
@Rute_Cauze @farsazadi Lmao mate could you be any more of a wanker ðŸ˜	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
How many people you planning to shag in September? — one person. the rest are a bonus https://t.co/FcS1FpxSvE	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
Heartbreaking to see #IndiaCovidCrisis #India #indiacovid #indianeedoxygen https://t.co/2e8C83YehA	OTHER	OTHER	OTHER	OTHER	NONE
Patients with #ChineseVirus are not getting themselves tested, using doctors for their prescriptions and roaming around with impunity in UP.  and when someone is going to die, some will, curse the govt https://t.co/kdscfEKD5b	OTHER	OTHER	OTHER	OTHER	NONE
Bitch better be thanking God Almighty because he couldve had his ass seriously BEAT TO A BLOODY pulp https://t.co/XrmEiQBIxq	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
not exclusive.....  lol Ange just given him permission to shag her daughter unwittingly?   &amp; Louie LoveDay from #Hollyoaks just NOOOO lol lol   #HolbyCity	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
How dare you motherfucker trying to tell everyone to be cool ? R u fucking serious ? #StopAsianHate https://t.co/lRNzlYOtcD	OFFENSE	OTHER	OFFENSE	OFFENSE	PRFN
Gotta fuck me for free, ain’t no money bitch. I been on some pimp shit lately	OFFENSE	OFFENSE	OFFENSE	OFFENSE	PRFN
"If you can't handle me at my ""show me on the doll where the feminist hurt you"", then you probably deserve me at my ""get fucked you incel shitbag""."	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
@vampirebritcom wanker omg yes	OFFENSE	OTHER	OTHER	OFFENSE	PRFN
@ArogyaAndhra @PMOIndia #IndiaCovidCrisis Why there are no mobile blood collecting/testing arrangements. People are crowding unnecessarily in labs and exposing themselves.	OTHER	OTHER	OTHER	OTHER	NONE
miya four creeps into every thought i have what the fuck	OFFENSE	OTHER	OFFENSE	OTHER	NONE
Damn, I actually just unsubscribed from all the useless junk in my inbox and compiled all my good newsletters in 3 minutes. Thanks @Unrollme. Would recommend: https://t.co/83FbYILJT8	OTHER	OTHER	OTHER	OTHER	NONE
